"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.710991863E0,-2.571689367E0,-3.305480957E1,-7.110143185E0,3.390852633E1
2.720990596E0,1.330208397E1,-3.323707581E1,-1.488474083E1,3.877117687E1
2.730989329E0,3.073283005E1,-2.583442116E1,-1.834912109E1,4.414311276E1
2.740988029E0,4.023511887E1,-9.953747749E0,-1.659298515E1,4.464604171E1
2.750986795E0,4.665692902E1,-7.729459763E0,-6.037267685E0,4.767664181E1
2.760985561E0,4.259877014E1,-1.378688335E0,-1.757719994E0,4.265730393E1
2.770984327E0,4.241598892E1,-1.274619102E0,-1.773085117E0,4.247216266E1
2.780983093E0,3.561670685E1,5.072877407E0,4.920649052E0,3.631110958E1
2.790981859E0,3.407500076E1,6.273784637E0,2.313042164E0,3.472486450E1
2.800980625E0,3.145212173E1,6.274416924E0,-9.184193611E-1,3.208500839E1
2.810979425E0,2.933434677E1,2.976124287E0,-3.352732182E0,2.967493942E1
2.820978125E0,2.666991234E1,-3.791751862E-1,-4.462322712E0,2.704330457E1
2.830976891E0,2.369462967E1,-4.570332050E0,-5.562957287E0,2.476428687E1
2.840975657E0,1.978969383E1,-8.408144951E0,-6.967779636E0,2.260262897E1
2.850974357E0,1.499227047E1,-1.224531269E1,-8.045062065E0,2.096279753E1
2.860973123E0,9.757038116E0,-1.613248825E1,-8.504332542E0,2.068285865E1
2.870971923E0,3.238420963E0,-2.019351768E1,-8.477934837E0,2.213912613E1
2.880970689E0,-3.660850525E0,-2.514483261E1,-9.091802597E0,2.698750281E1
2.890969455E0,-1.910638046E1,-2.520906067E1,-9.074769020E0,3.290747555E1
2.900968221E0,-3.441381836E1,-2.075361061E1,-8.215612411E0,4.101852673E1
2.910966987E0,-4.727870178E1,-1.637429237E1,-5.382023811E0,5.032255233E1
2.920965753E0,-5.293937302E1,-1.257993126E1,-3.433511019E0,5.452174689E1
2.930964453E0,-4.552667999E1,-1.385712242E1,2.206954479E0,4.763999455E1
2.940963219E0,-3.522200775E1,-1.826122856E1,2.275354385E0,3.973964691E1
2.950961985E0,-2.831203461E1,-2.042136002E1,5.293731689E0,3.530760320E1
2.960960685E0,-2.677070427E1,-2.196618271E1,7.723452091E0,3.548007190E1
2.970959451E0,-2.511106300E1,-2.459216309E1,7.987461567E0,3.604357797E1
2.980958217E0,-2.171150780E1,-2.736117172E1,6.306476593E0,3.549359007E1
2.990956917E0,-1.579196835E1,-3.068936539E1,2.273016930E0,3.458887130E1
3.000955683E0,-2.600140572E0,-3.538273621E1,-3.081590652E0,3.561172494E1
3.010954449E0,2.189900589E1,-3.486137009E1,-1.111449432E1,4.264286068E1
3.020953215E0,4.053072739E1,-2.423302269E1,-1.514586067E1,4.959209964E1
3.030951981E0,5.159419250E1,-1.239826584E1,-1.460324478E1,5.503573797E1
3.040950747E0,4.911257935E1,-6.881081581E0,-7.388922691E0,5.013971392E1
3.050949480E0,4.883650208E1,-6.798822880E0,-7.363632202E0,4.985429778E1
3.060948213E0,3.727657318E1,4.416605949E0,6.198495388E0,3.804563919E1
3.070946879E0,3.793826294E1,6.700989723E0,2.017778397E0,3.857831629E1
3.080945612E0,3.622568512E1,7.358700752E0,-2.089946270E0,3.702456772E1
3.090944345E0,3.195502663E1,6.071482658E0,-5.485933304E0,3.298608938E1
3.100943011E0,2.813112831E1,2.551321030E0,-7.447154999E0,2.921180817E1
3.110941744E0,2.547484589E1,-1.196951389E0,-8.702565193E0,2.694689419E1
3.120940477E0,2.163586235E1,-5.452407837E0,-9.194210052E0,2.413240123E1
3.130939177E0,1.443579388E1,-1.028346252E1,-8.629891396E0,1.971336531E1
3.140937943E0,7.053720951E0,-1.439098835E1,-7.564985275E0,1.772243006E1
3.150936709E0,7.919579983E0,-1.432473946E1,-7.576180935E0,1.803653030E1
3.161292691E0,-9.042420387E0,-2.257970810E1,-9.621334076E0,2.615680894E1
3.171291457E0,-2.633641815E1,-2.167790985E1,-9.939588547E0,3.552934164E1
3.181290157E0,-4.260082626E1,-1.677202225E1,-7.127057552E0,4.633493367E1
3.191288923E0,-5.373440552E1,-1.105836868E1,-4.893481255E0,5.507830801E1
3.201287689E0,-5.432829285E1,-1.005172729E1,-1.216495037E0,5.526373572E1
3.211286389E0,-4.654228592E1,-1.623193741E1,3.810281754E-1,4.929305583E1
